datetime	price	type	latitude_to	longitude_to	latitude_from	longitude_from	label_from	label_trend
28.01.2014 21:29	-100	Hotel	-77.0349775	38.9099362	-86.639913	32.7184382	NATL GOVERNORS ASS        	DoWD
29.01.2014 18:30	409.91	Hotel	-77.0349775	38.9099362	-86.639913	32.7184382	HILTON HOTELS ADV DEP     	DoWD
29.01.2014 19:09	409.91	Hotel	-77.0349775	38.9099362	-86.639913	36.5861624	HILTON HOTELS ADV DEP     	DoWD
29.01.2014 20:08	409.91	Hotel	-77.0349775	38.9099362	-86.639913	36.5861624	HILTON HOTELS ADV DEP     	DoWD
31.01.2014 14:00	409.91	Hotel	-77.0349775	38.9099362	-86.639913	37.7970026	HILTON HOTELS ADV DEP     	DoWD
31.01.2014 19:10	950	AQ0OC07A2495 -77.0349775	38.9099362	-86.639913	37.7970026	NAWB                      	DoWD
31.01.2014 21:16	625	REGISTRATION	-77.0349775	38.9099362	-86.639913	32.7184382	NATL GOVERNORS ASS        	DoWD
01.02.2014 14:27	875	REGISTRATION	-77.0349775	38.9099362	-86.639913	32.7184382	NATL GOVERNORS ASS        	DoWD
01.02.2014 20:38	625	REGISTRATION	-77.0349775	38.9099362	-86.639913	36.5861624	NATL GOVERNORS ASS        	DoWD
01.02.2014 20:44	875	AL0ECFE911DE  -77.0349775	38.9099362	-86.639913	36.5861624	NATL GOVERNORS ASS        	DoWD
01.02.2014 21:51	625	AU0EDF5A03B9  -77.0349775	38.9099362	-86.639913	39.825192	NATL GOVERNORS ASS        	DoWD
02.02.2014 11:26	625	AQ0ECE523F26  -77.0349775	38.9099362	-86.639913	39.825192	NATL GOVERNORS ASS        	DoWD
02.02.2014 21:20	625	AQ0ECE9E235C  -77.0349775	38.9099362	-86.639913	39.825192	NATL GOVERNORS ASS        	DoWD
03.02.2014 19:02	619	AT0EDB5165DC  -77.0349775	38.9099362	-86.639913	39.825192	NATIONAL ASSN OF W        	DoWD
05.02.2014 18:31	560	AT0EDB516127 -77.0349775	38.9099362	-86.639913	39.825192	NATIONAL ASSN OF W        	DoWD
06.02.2014 9:07	496.8	-77.0349775	38.9099362	-86.639913	39.825192	AED BRANDS                	DoWD
06.02.2014 20:52	670.47	OUT-OF-STATE LODGING	-90.0742422	29.9659198	-86.639913	39.825192	HILTON HOTELS PALMR HS    	DoWD
07.02.2014 15:46	694.92	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	EMBASSY SUITES CHICAGO    	DoWD
07.02.2014 20:27	463.28	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	HILTON HOTELS ADV RESV    	DoWD
08.02.2014 16:52	463.28	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	HILTON HOTELS ADV RESV    	DoWD
08.02.2014 21:36	903.28	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	CLUB QUARTERS - CHICAG    	DoWD
10.02.2014 17:16	903.28	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	CLUB QUARTERS - CHICAG    	DoWD
11.02.2014 13:14	446.98	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	HYATT CHIC MAGNIFICNT MIL 	DoWD
12.02.2014 14:24	446.98	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	HYATT CHIC MAGNIFICNT MIL 	DoWD
13.02.2014 12:21	871.92	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	EMBASSY SUITES CHICAGO    	DoWD
13.02.2014 14:01	446.98	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	HYATT CHIC MAGNIFICNT MIL 	DoWD
13.02.2014 21:06	871.92	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	EMBASSY SUITES CHICAGO    	DoWD
14.02.2014 16:37	381.6	  Hotel	-87.6294445	41.8801994	-86.639913	39.825192	UNION LEAGUE CLUB         	DoWD
14.02.2014 20:00	416.72	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	DOUBLETREE MAG MILE       	DoWD
14.02.2014 20:39	208.36	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	DOUBLETREE MAG MILE       	DoWD
14.02.2014 20:41	208.36	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	DOUBLETREE MAG MILE       	DoWD
14.02.2014 23:45	416.72	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	DOUBLETREE MAG MILE       	DoWD
14.02.2014 23:47	208.36	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	DOUBLETREE MAG MILE       	DoWD
15.02.2014 18:17	208.36	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	DOUBLETREE MAG MILE       	DoWD
16.02.2014 19:59	3457.65	Hotel	-87.6294445	41.8801994	-86.639913	39.825192	CLARION HOTEL AND CONFERE 	DoWD
20.02.2014 12:11	2011.41	Hotel	-86.01237	39.3776946	-86.639913	39.825192	CLARION HOTEL AND CONFERE 	DoWD
20.02.2014 13:49	-2011.41	Hotel -86.01237	39.3776946	-86.639913	39.825192	CLARION HOTEL AND CONFERE 	DoWD
21.02.2014 11:29	104.13	Hotel	-86.01237	39.3776946	-86.639913	39.825192	COURTYARD INDIANAPOLIS    	DoWD
21.02.2014 15:00	104.13	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	COURTYARD INDIANAPOLIS    	DoWD
21.02.2014 17:32	104.13	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	COURTYARD INDIANAPOLIS    	DoWD
22.02.2014 16:25	104.13	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	COURTYARD INDIANAPOLIS    	DoWD
22.02.2014 20:08	104.13	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	COURTYARD INDIANAPOLIS    	DoWD
22.02.2014 20:59	312.39	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	SPRINGHILL SUITES INDI    	DoWD
23.02.2014 10:34	416.52	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	SPRINGHILL SUITES INDI    	DoWD
23.02.2014 11:43	-416.52	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	SPRINGHILL SUITES INDI    	DoWD
23.02.2014 19:11	416.52	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	SPRINGHILL SUITES INDI    	DoWD
24.02.2014 11:50	-416.52	Hotel	-86.2558737	39.8434111	-86.639913	39.825192	SPRINGHILL SUITES INDI    	DoWD
24.02.2014 18:39	199.36	IN-STATE LODGING	-86.2558737	39.8434111	-86.639913	39.825192	CLARION MERRILLVILLE      	DoWD
25.02.2014 13:27	-225.78	IN-STATE LODGING	-86.0181015	41.6151186	-86.639913	39.825192	CLARION MERRILLVILLE      	DoWD
26.02.2014 19:44	225.78	IN-STATE LODGING	-86.0181015	41.6151186	-86.639913	39.825192	CLARION MERRILLVILLE      	DoWD
28.02.2014 18:00	188.16	Hotel	-86.0181015	41.6151186	-86.639913	39.825192	RANDOLPH INN AND SUITE    	DoWD
28.02.2014 19:24	282.24	Hotel -86.3584329	39.9829945	-86.639913	39.825192	RANDOLPH INN AND SUITE    	DoWD
28.02.2014 20:13	282.24	Hotel -86.3584329	39.9829945	-86.639913	39.825192	RANDOLPH INN AND SUITE    	DoWD
